单词,词性,释义,等级,真题原句,原句译文,上文,下文,题目情境,原题,原题译文,年份,套次,题型,篇目,出现次数
usual,adj.,"★通常的,惯例的；平常的",A 基础高频,"Countries that abolished entrance fees recorded a sharp increase in visitors, and, crucially, the new visitors were not the usual audience.",取消门票的国家录得访客量急剧上升，而且关键是，新增的访客并不是原来那批老观众。,"A modest fee may seem harmless, but research consistently shows that it discourages precisely the visitors that public funding was intended to attract: families with low incomes, students, and people who have never visited a museum before and are unsure whether they would enjoy it.","Critics object that free admission reduces the income available for maintaining collections, and there is some truth in this.",仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,2
valuable,adj./n.,"★有价值的,宝贵的；贵重的；贵重物品",A 基础高频,"Although keyboards have replaced pens in most offices, researchers argue that handwriting still has a valuable role in education.",尽管键盘在大多数办公室已经取代了笔，研究人员认为手写在教育中仍有宝贵的价值。,,Experiments with young children show that those who form letters by hand recognise them more quickly and remember them longer than children who only tap them on a screen.,选词填空：手写是否还有价值,26. Why do some researchers study handwriting?,一些研究者研究手写，是为了看大脑对手写的反应。,2023年3月,第1套,选词填空,The Value of Handwriting,2
valuable,adj./n.,"★有价值的,宝贵的；贵重的；贵重物品",A 基础高频,Others argue that experience gained outside the classroom is just as valuable as knowledge gained inside it.,另一些人则认为，课堂之外获得的经验和课堂上学到的知识同样宝贵。,Some people worry that working reduces the time available for study and that students may become impatient with their courses.,"In my view, a part-time job is beneficial provided that it does not interfere with study.",写作：Should college students do part-time jobs?（参考范文）,,,2023年3月,第1套,写作,范文,2
view,n./v.,"★视野；景色；观点,看法；视图；看待,考虑；观看；查看；视察",A 基础高频,"In my view, a part-time job is beneficial provided that it does not interfere with study.",在我看来，只要不耽误学习，兼职是有益的。,Others argue that experience gained outside the classroom is just as valuable as knowledge gained inside it.,"Such work teaches students to manage their time, to communicate with colleagues and to take responsibility for tasks they cannot simply abandon.",写作：Should college students do part-time jobs?（参考范文）,,,2023年3月,第1套,写作,范文,2
view,n./v.,"★视野；景色；观点,看法；视图；看待,考虑；观看；查看；视察",A 基础高频,"In my view, technology itself is neither good nor bad; what matters is how we choose to use it.",在我看来，技术本身无所谓好坏，关键在于我们选择如何使用它。,"On the other hand, many people worry that machines will replace human workers, and that students may rely too heavily on tools that write essays for them.",Schools should teach students to treat these tools as assistants rather than substitutes for thinking.,写作：Short essays on the influence of artificial intelligence（参考范文）,,,2024年6月,第1套,写作,范文,2
volume,n.,"★音量；体积,容积；容量；卷,册；大量,许多；总量；书卷",A 基础高频,Environmental groups estimate that the volume of this waste has increased several times over in the past five years.,环保团体估计，这类垃圾的总量在过去五年里翻了几番。,"A single order typically arrives with a plastic container, a paper bag, a set of disposable chopsticks and several small packets of sauce, most of which are used for a few minutes and then thrown away.","Some platforms have responded by making reusable containers an option, but customers rarely select it because it requires them to return the container.",段落匹配：外卖行业带来的包装垃圾问题,36. Food delivery has grown rapidly in recent years.,近年来外卖行业增长迅速。,2023年3月,第1套,长篇阅读,Food Delivery and Packaging Waste,2
volume,n.,"★音量；体积,容积；容量；卷,册；大量,许多；总量；书卷",A 基础高频,"Librarians emphasise that digitisation does not replace the original volumes, since the paper itself contains information about when and how the book was made.",图书馆员强调，数字化并不能替代原件，因为纸张本身就包含着这本书何时、如何制作的信息。,"Once the pages are photographed, however, anyone with an internet connection will be able to read them, and researchers will no longer need to travel to the city.","The project has been financed by a combination of public funds and private donations, and the library hopes to extend it to its collection of maps next year.",新闻：一座图书馆启动古籍数字化项目,1. What is the report mainly about?,这则报道主要讲什么？,2021年6月,第1套,听力,News Report One,2
water,n./v.,★水；水域；水面；水位；海域；给…浇水；流口水；加水；泪水,A 基础高频,"Air, bottled water and seafood.",空气、瓶装水和海鲜。,They are taking in a lot of plastic.,How much plastic there is in the remaining 85 percent of Americans' typical diet.,短文听力：日常饮食与空气中的微塑料摄入（19-21 题。下列为来源 M 公布的正确项原文，题库未公布听力原文与题干英文）,,,2026年6月,第1套,听力,Plastic in the Diet,2
water,n./v.,★水；水域；水面；水位；海域；给…浇水；流口水；加水；泪水,A 基础高频,"According to the story, local people threw rice into the water so that the fish would not eat his body, and this custom is said to be the origin of zongzi, a kind of rice dumpling wrapped in leaves.",传说当地百姓把米扔进江里，好让鱼不去啃食他的身体，这个习俗据说是粽子（一种用叶子包起来的米团）的由来。,"It is observed in memory of Qu Yuan, a poet who drowned himself in a river more than two thousand years ago.","Nowadays the festival is best known for dragon boat races, in which teams row to the beat of a drum.",汉译英：端午节与龙舟赛（参考译文）,,,2022年6月,第1套,翻译,端午节,2
weather,n./v.,"★天气,气象；处境；气候；经历；度过；经受住；风化；侵蚀",A 基础高频,Weather forecasting has improved dramatically.,天气预报的准确性已经大幅提高。,,"A three-day forecast today is as accurate as a one-day forecast was thirty years ago, thanks to better instruments, more powerful computers and a deeper understanding of the atmosphere.",仔细阅读：天气预报越来越准，人们却越来越不信,50. What is the passage mainly about?,这篇文章主要讲什么？,2023年3月,第1套,仔细阅读,Passage Two,2
weather,n./v.,"★天气,气象；处境；气候；经历；度过；经受住；风化；侵蚀",A 基础高频,"Some weather services have begun to experiment with clearer wording, and early results are encouraging.",一些气象机构已经开始尝试更清楚的表述，初步结果令人鼓舞。,"Forecasters have been slow to explain probability in ordinary language, and television presenters often simplify the information until the uncertainty disappears.","Trust, it seems, depends less on being right than on being understood.",仔细阅读：天气预报越来越准，人们却越来越不信,50. What is the passage mainly about?,这篇文章主要讲什么？,2023年3月,第1套,仔细阅读,Passage Two,2
welcome,v./adj./n./int.,★欢迎；迎接；乐意接受；受欢迎的；令人愉快的；欢迎；迎接；欢迎辞,A 基础高频,Young couples interviewed by reporters said they welcomed the payment but were more concerned about whether they could find affordable childcare near their workplace.,接受记者采访的年轻夫妇表示，他们欢迎补贴，但更关心工作地点附近能否找到负担得起的托儿服务。,"Economists point out that financial support alone rarely changes such decisions, because the cost of raising a child involves far more than money: it includes housing, education and, above all, time.","The government has promised to build more nurseries, though it has not yet specified how the programme will be financed.",新闻：某地为鼓励生育推出补贴政策,1. What is the report mainly about?,这则报道主要讲什么？,2022年12月,第1套,听力,News Report One,2
welcome,v./adj./n./int.,★欢迎；迎接；乐意接受；受欢迎的；令人愉快的；欢迎；迎接；欢迎辞,A 基础高频,"A railway line that had been abandoned for more than twenty years has been converted into a public park, and local residents have welcomed the change.",一条已经废弃二十多年的铁路线被改造成了公园，当地居民对这一变化表示欢迎。,,"The project cost relatively little, because the track and the bridges were already in place; workers mainly removed the waste and planted trees along the route.",新闻：一座城市把废弃铁路改造成公园,1. What is the report mainly about?,这则报道主要讲什么？,2023年6月,第1套,听力,News Report One,2
worth,adj./n.,"★值得的,有…价值的；价值；财产；效用",A 基础高频,"It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",而是谣言通常比真相更让人意外，而意外正是值得转发出去的东西。,The explanation is not that people are foolish.,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,2
worth,adj./n.,"★值得的,有…价值的；价值；财产；效用",A 基础高频,"Finally, it is worth remembering that difficulties at university are temporary.",最后，值得记住的是，大学里的困难是暂时的。,"Third, physical exercise and face-to-face conversation remain the two most reliable ways of reducing anxiety.",Most of the problems that seem enormous in a dormitory look much smaller a few years later.,写作：How to keep mentally healthy in college（参考范文）,,,2022年12月,第1套,写作,范文,2
absence,n.,"★缺席,不在；缺乏",A 基础高频,"The problem, the report suggests, is not a shortage of time but the absence of a schedule.",报告指出，问题不在于时间不够，而在于没有计划。,"On average, undergraduates devoted less than three hours a day to study, while they spent almost five hours on their phones.",Students who planned their week in advance reported far less stress than those who simply reacted to whatever appeared each morning.,选词填空：大学生时间管理调查,26. What does the survey show about college students?,大学生常常高估自己一天能完成的事情。,2023年6月,第1套,选词填空,Time Management,1
account,n./v.,"★账户；解释,说明；占比",A 基础高频,"As of the end of March 2025, the number of private enterprises in China had exceeded 57 million, accounting for 92.3 percent of the total.",截至2025年3月底，中国民营企业数量已超过五千七百万户，占企业总数的百分之九十二点三。,,,汉译英：中国民营经济的发展（主题与参考数值均已公开，中文原题全文未取得；本句为机构回忆版参考译文，来源见文件头 [I]）,,,2025年12月,第1套,翻译,民营经济,1
adjust,v.,"★调整,适应",A 基础高频,"The team suggests that universities should treat sleep as part of their health education, instead of assuming that students will adjust their schedules on their own.",研究团队建议，大学应当把睡眠纳入健康教育，而不是想当然地认为学生会自己调整作息。,"They tended to blame poor grades on stress or on the difficulty of the course, and they rarely connected their tiredness with the hours they spent on social media late at night.",,短文：睡眠不足对大学生学习效率的影响,3. What does the speaker say about college students' sleep?,关于大学生的睡眠，讲话人说了什么？,2024年6月,第1套,听力,Passage Two,1
advance,n./v.,"★进步,进展；提前；推进",A 基础高频,Students who planned their week in advance reported far less stress than those who simply reacted to whatever appeared each morning.,提前规划好一周的学生，压力明显小于那些每天早上只是被动应付眼前事情的学生。,"The problem, the report suggests, is not a shortage of time but the absence of a schedule.","Interestingly, the students who performed best were not the ones who studied the longest, but those who divided their work into short periods with breaks in between.",选词填空：大学生时间管理调查,28. What is the advantage of planning the day in advance?,提前规划一天能减少需要临时做的决定。,2023年6月,第1套,选词填空,Time Management,1
always,adv.,★总是；一直；永远,A 基础高频,"Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",零售商对这套机制了如指掌，所以降价旁边几乎总会标出原价。,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,"Experiments show that customers are more likely to buy when they can see the comparison, even when the so-called original price was never actually charged.",仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,1
apply,v.,★申请；应用；涂抹,A 基础高频,"Local governments have tried to regulate the industry, yet rules that apply to restaurants are difficult to enforce when the meal is assembled in a different district from the one where it is eaten.",地方政府试图规范这个行业，然而当一顿饭是在与食用地不同的城区里装配出来时，适用于餐馆的规定很难执行。,"Some platforms have responded by making reusable containers an option, but customers rarely select it because it requires them to return the container.","Researchers suggest that the most effective measure would be a charge on single-use packaging, which would make customers think twice before ordering items they do not need.",段落匹配：外卖行业带来的包装垃圾问题,36. Food delivery has grown rapidly in recent years.,近年来外卖行业增长迅速。,2023年3月,第1套,长篇阅读,Food Delivery and Packaging Waste,1
association,n.,★协会；联想；关联,A 基础高频,"Nevertheless, the association remained strong after the team had controlled for income, education and physical health.",不过，在控制了收入、教育程度和身体健康状况之后，这种关联依然很强。,"Researchers were careful to note that the relationship is not simply one of cause and effect: people who are already depressed tend to stop exercising, so part of the difference may reflect the illness rather than the cure.","Some clinics have begun to prescribe exercise alongside medication, and early reports suggest that patients who follow such advice recover slightly faster.",短文：体育运动对心理健康的长期影响,3. What did the long-term study find?,这项长期研究发现了什么？,2022年12月,第1套,听力,Passage Two,1
aware,adj.,"★意识到的,知道的",A 基础高频,"Whether these measures will change behaviour remains to be seen, but nutritionists insist that the first step is simply to make students aware of what they are eating.",这些措施能否改变行为还有待观察，但营养学家坚持认为，第一步只是让学生意识到自己在吃什么。,Several universities have responded by improving the quality of their canteens and by publishing the calorie information of each dish.,,短文：外卖食品与大学生饮食习惯调查,3. What did the survey find about students' eating habits?,关于学生的饮食习惯，调查发现了什么？,2023年12月,第1套,听力,Passage Two,1
beach,n./v.,"★海滩,沙滩；湖滨；上岸；搁浅；把…拖上岸",A 基础高频,"For years the problem seemed remote, something that happened on distant beaches and in the stomachs of seabirds.",多年来这个问题似乎很遥远，像是发生在遥远海滩上和海鸟胃里的事。,Plastic pollution has moved from the edge of public discussion to the centre of it.,"Now images of waste in rivers and on city streets have made the issue personal, and governments in dozens of countries have responded with taxes, bans and recycling programmes.",仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,1
blame,v./n.,"★责备,归咎；责任",A 基础高频,"They tended to blame poor grades on stress or on the difficulty of the course, and they rarely connected their tiredness with the hours they spent on social media late at night.",他们往往把成绩差归咎于压力或者课程太难，很少把自己白天的疲惫和深夜刷社交媒体联系起来。,What surprised the researchers was that many students did not consider sleep a serious issue.,"The team suggests that universities should treat sleep as part of their health education, instead of assuming that students will adjust their schedules on their own.",短文：睡眠不足对大学生学习效率的影响,3. What does the speaker say about college students' sleep?,关于大学生的睡眠，讲话人说了什么？,2024年6月,第1套,听力,Passage Two,1
brief,adj./v.,★简短的；简要介绍,A 基础高频,"Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",研究表明，哪怕只是由一个简单问题引发的短暂停顿，就能减少人们转发的假消息数量。,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.","The problem cannot be solved by deleting rumours alone, because the demand for surprising stories remains.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,1
chapter,n.,"★章,回,篇；篇章；时期；分会",A 基础高频,"Some schools have responded by setting aside a fixed period each morning for silent reading, hoping that students will rediscover the pleasure of finishing a whole chapter without checking a phone.",一些学校的应对办法是每天早上留出固定的时间进行默读，希望学生能重新找回不碰手机、读完一整章的乐趣。,They argue that deep reading requires patience and that constant interruptions make it harder for the brain to process difficult ideas.,,选词填空：成年人阅读习惯调查（15选10 体裁）,26. What has remained stable over the past decade?,每月至少读一本书的人数保持稳定。,2024年6月,第1套,选词填空,Reading Habits,1
checkout,n.,"★结账台,收银台；结账；检验；签出",A 基础高频,"Surveys repeatedly show that customers understand the environmental cost of single-use plastic, and that they still choose it when they stand at the checkout.",调查反复显示，顾客明白一次性塑料的环境代价，可站在收银台前时他们依然选择它。,Yet behaviour has proved stubborn.,The reason is rarely ignorance.,仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,1
climate,n.,★气候；氛围,A 基础高频,The effect was modest but remarkably consistent across different cities and climates.,这种效应不算大，但在不同城市和气候条件下都出奇地一致。,"In a study that compared districts with similar income levels, residents who lived within a ten-minute walk of a park reported fewer symptoms of anxiety and were more likely to exercise regularly.",What is less clear is the direction of the relationship.,仔细阅读：城市绿地对居民健康的影响,50. What have researchers found about green space?,关于绿地，研究人员发现了什么？,2023年12月,第1套,仔细阅读,Passage Two,1
confidence,n.,"★信心,信任",A 基础高频,"Gunpowder changed the nature of warfare, while the compass enabled sailors to travel far from the coast with confidence.",火药改变了战争的性质，而指南针让航海者能够放心地远离海岸航行。,"Papermaking and printing made it possible to record and spread knowledge at a much lower cost, which promoted the development of education.",These inventions reached other parts of the world through trade and gradually influenced the course of human history.,汉译英：中国古代四大发明（参考译文）,,,2022年12月,第1套,翻译,四大发明,1
confuse,v.,★使困惑；混淆,A 基础高频,"Many elderly people still find digital payment confusing, and they would be excluded from ordinary shopping if notes and coins were abolished.",许多老年人仍然觉得数字支付难以理解，如果纸币和硬币被废除，他们连日常购物都会被排除在外。,"However, I do not think cash should disappear completely.","There is also the question of privacy, since electronic records reveal a great deal about a person's habits.",写作：Is cash still necessary?（参考范文）,,,2021年6月,第1套,写作,范文,1
conscience,n.,"★良心,良知；内疚；道德心",A 基础高频,Companies have discovered that appealing to conscience is less effective than changing the default option.,企业发现，诉诸良知不如改变默认选项有效。,"A reusable bag works only if you remember to carry it, and a paper bag costs more and tears easily when it rains.",Supermarkets that simply stopped offering free bags saw a sharper decline in plastic use than those that spent money on advertising campaigns.,仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,1
construction,n.,"★建造,建设；建筑物；结构；构造；解释",A 基础高频,"Engineers continue to improve the technology, and several new lines are now under construction.",工程师们不断改进这项技术，目前还有几条新线路正在建设之中。,"The network has also promoted economic development in inland regions, where factories and tourist sites were once difficult to reach.","For many travellers, the railway has become a symbol of the country's rapid modernisation.",汉译英：中国高速铁路的发展（参考译文）,,,2024年6月,第1套,翻译,中国高铁,1
consumption,n.,★消费；消耗；消耗量,A 基础高频,"The sharing economy was once described as the future of consumption, and in a few years it has indeed transformed the way many people travel and rent accommodation.",共享经济一度被描述为消费的未来，几年之内它确实改变了许多人的出行和租房方式。,,"Bike-sharing schemes, in particular, expanded with extraordinary speed: companies placed millions of bicycles on the streets of cities that had no infrastructure for them, and for a while the pavements were blocked by machines nobody was using.",段落匹配：共享单车与共享经济的发展与问题,36. Shared bicycles were introduced into many cities at once.,共享单车几乎同时进入了许多城市。,2023年12月,第1套,长篇阅读,The Sharing Economy,1
content,n./adj.,★内容；含量；满意,A 基础高频,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.",平台尝试过各种应对手段，从贴警告到下架内容，但最有效的办法似乎更慢：教用户在转发前先核实来源。,"People share material that expresses emotion, and rumours tend to be written in emotional language, whereas corrections are sober and careful, which makes them far less attractive.","Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,1
curious,adj.,★好奇的；奇怪的,A 基础高频,"Interest, meanwhile, has a practical value that is easy to overlook: students who are genuinely curious study harder, absorb material faster, and are more willing to persist when a course becomes difficult.",与此同时，兴趣有一种容易被忽视的实用价值：真正好奇的学生学得更投入、吸收更快，也更愿意在课程变难时坚持下去。,"Graduates who selected a subject mainly because of its employment prospects are not necessarily happier in their work, and a substantial proportion of them leave the field within five years.","That said, it would be dishonest to ignore the market.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,1
current,adj./n.,"★当前的；流行的；水流,电流",A 基础高频,"A large proportion of employees under thirty now say they prefer to remain with their current employer, even when they receive offers that pay more.",如今三十岁以下员工中有很大一部分表示，即使收到薪水更高的录用通知，他们也愿意留在现在的雇主这里。,Recent surveys suggest that the mood has shifted.,Their reasons are revealing.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,1
desire,n./v.,"★渴望,欲望",A 基础高频,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",一件平常事不会产生分享的欲望，而一个听起来不可思议的故事却非要有人听不可。,"It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.","Researchers measured this by comparing how novel each message was, and found that falsehoods were consistently rated as more unexpected.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,1
despite,prep.,"★尽管,虽然",A 基础高频,"Despite these changes, the festival remains a moment when family ties are renewed.",尽管有这些变化，春节依然是家人重续亲情的时刻。,"Many families now book their dinner in a restaurant instead of cooking at home, and a growing number of people send their greetings by phone rather than visiting in person.",,汉译英：春节的传统与现代变化（参考译文）,,,2023年3月,第1套,翻译,春节,1
determine,v.,"★决定,确定；下决心",A 基础高频,"Critics argue that this ritual measures memory under pressure rather than genuine understanding, and that a single afternoon should not determine a student's grade.",批评者认为，这种仪式考的是压力下的记忆力，而不是真正的理解，一个下午也不该决定学生的成绩。,"Every summer, students sit in crowded halls and try to recall, in three hours, everything they were supposed to have learned in a semester.","They propose continuous assessment instead: essays, projects and short tests spread across the term, which they claim give a fairer picture of a student's ability.",仔细阅读：大学是否应该取消期末考试,46. What is the passage mainly about?,这篇文章主要讲什么？,2023年12月,第1套,仔细阅读,Passage One,1
distant,adj.,★遥远的；久远的；冷淡的；远亲的；恍惚的,A 基础高频,"For years the problem seemed remote, something that happened on distant beaches and in the stomachs of seabirds.",多年来这个问题似乎很遥远，像是发生在遥远海滩上和海鸟胃里的事。,Plastic pollution has moved from the edge of public discussion to the centre of it.,"Now images of waste in rivers and on city streets have made the issue personal, and governments in dozens of countries have responded with taxes, bans and recycling programmes.",仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,1
eager,adj.,"★渴望的,热切的",A 基础高频,"For someone eager to learn and to meet people from different backgrounds, the city is probably the better choice.",对渴望学习、想结识不同背景的人来说，城市大概是更好的选择。,Whether the exchange is worthwhile depends on what stage of life a person has reached.,"For someone who values space, quiet and a slower pace, it is not.",写作：The advantages and disadvantages of living in a big city（参考范文）,,,2022年6月,第1套,写作,范文,1
earn,v.,"★赚得,挣得；赢得",A 基础高频,"Companies point out that the system allows anyone to start earning within a day, and that attempts to regulate the industry have reduced the number of available jobs.",企业指出，这套体系让任何人一天之内就能开始挣钱，而试图监管这个行业反而减少了可提供的岗位。,"If a rider is injured, or if the restaurant is slow, the loss falls on them alone.","Researchers who interviewed riders found a more complicated picture: most of them accepted the arrangement for a period, but very few expected to remain in it for years, and almost none had any form of insurance.",段落匹配：外卖骑手与零工经济的工作状况,36. Many riders are attracted by the freedom of choosing working hours.,很多骑手是被自由选择工作时间的权利吸引来的。,2021年6月,第1套,长篇阅读,Gig Work and Delivery Riders,1
employ,v./n.,★雇用；使用,A 基础高频,"Where villagers are employed as guides, or where a proportion of the entrance fee is returned to the community, attitudes change within a few years, and local residents begin to report illegal hunting themselves.",在村民被雇来做导游、或门票收入有一部分返还给社区的地方，几年之内态度就会转变，当地居民甚至会主动举报非法狩猎。,Projects that have succeeded tend to share one feature: the people who bear the cost also receive a share of the benefit.,Conservationists sometimes regard such arrangements as a compromise with principle.,仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,1
entirely,adv.,"★完全地,彻底地；全部地；完整地；全然",A 基础高频,"City governments encouraged the trend by painting lanes on roads that had previously belonged almost entirely to cars, though in some districts these lanes were removed after complaints from shop owners and taxi drivers.",市政府也鼓励这一趋势，在原本几乎完全属于汽车的道路上画出车道，尽管在一些街区，这些车道因为店主和出租车司机的投诉被取消了。,"Many of them continued after the crisis passed, because they discovered that the journey was faster than a bus and considerably cheaper than driving.",Safety remains the main obstacle: surveys show that a large proportion of residents would cycle regularly if they felt protected from traffic.,选词填空：自行车在许多城市重新流行,26. What has caused the renewed interest in bicycles?,交通拥堵和对健康的担忧带来了自行车的重新流行。,2022年12月,第1套,选词填空,The Return of the Bicycle,1
establish,v.,"★建立,创立；确定；查明",A 基础高频,"Similar projects in other countries suggest that the benefits last: once a green space is established, the surrounding neighbourhood tends to become more attractive to residents and investors alike.",其他国家的类似项目表明，这些好处是持久的：一旦绿地建起来，周边街区对居民和投资者的吸引力往往都会提高。,"City officials say the park now attracts thousands of visitors every weekend, and that small businesses near the entrances have reported a noticeable increase in income.","The city plans to extend the park by another two kilometres next year, although some residents worry that the noise will disturb the peace of the area.",新闻：一座城市把废弃铁路改造成公园,1. What is the report mainly about?,这则报道主要讲什么？,2023年6月,第1套,听力,News Report One,1
extreme,adj./n.,★极端的；极度的；极端,A 基础高频,"The books are extremely fragile, and some of them are so damaged that they cannot be opened without risk, which means ordinary readers have had no access to them for decades.",这些书极为脆弱，有些已经破损到无法在不冒风险的情况下翻开，这意味着普通读者几十年来都无法接触它们。,"A library has begun a project to photograph its collection of ancient books, and the first stage is expected to take three years.","Once the pages are photographed, however, anyone with an internet connection will be able to read them, and researchers will no longer need to travel to the city.",新闻：一座图书馆启动古籍数字化项目,1. What is the report mainly about?,这则报道主要讲什么？,2021年6月,第1套,听力,News Report One,1
familiar,adj.,★熟悉的；常见的；随便的,A 基础高频,"In such circumstances, a familiar job where the rules are known feels less like a trap and more like a form of security.",在这种情况下，一份规则清楚的熟悉工作，感觉就不像牢笼，而像一种安全感。,"Many describe a working environment that has become unpredictable: projects appear without warning, meetings are scheduled late in the evening, and the boundary between work and private life has almost disappeared.",Employers who assume that money is the only factor misunderstand what has changed.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,1
feature,n./v.,"★特征,特点；特写；以…为特色",A 基础高频,Projects that have succeeded tend to share one feature: the people who bear the cost also receive a share of the benefit.,凡是成功的项目往往有一个共同点：承担代价的人也能分到好处。,"Unsurprisingly, resentment follows, and in several countries poaching increased after protection was introduced.","Where villagers are employed as guides, or where a proportion of the entrance fee is returned to the community, attitudes change within a few years, and local residents begin to report illegal hunting themselves.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,1
figure,n./v.,"★数字；人物；身材；图形；认为,计算",A 基础高频,These figures showed that the number of pupils that sat exams in Design and Technology fell 10 percent from 204.788 to 185.279 last year.,这些数据显示，去年参加设计与技术课考试的学生人数下降了百分之十，从二十万四千七百八十八人降到十八万五千二百七十九人。,"Now that design education is limited in the curriculum, I'm all in favour of competitions such as Design Ventura, which helps to bring the standard curriculum to life, says Cleaver.",We find that if pupils take part in Design Ventura in Year Nine it can be the trigger which leads them to opt for it at General Certificate of Secondary Education.,段落匹配：英国中学设计教育项目 Design Ventura 如何吸引青少年（答案 36-40 HCLAM，41-45 GKDJB；来源 A）,,,2025年6月,第1套,长篇阅读,Getting Young Minds into Design,1
formal,adj.,★正式的；形式上的,A 基础高频,"Second, it allows us to develop abilities that our formal education ignores, such as patience, creativity and the courage to fail in public.",其次，它让我们发展正规教育所忽视的能力，比如耐心、创造力，以及当众出丑的勇气。,"First, a hobby offers a break from the pressure of work or study, and this rest actually improves our efficiency when we return to our tasks.","Finally, hobbies often bring us into contact with people we would never otherwise meet.",写作：The importance of developing a hobby（参考范文）,,,2023年6月,第1套,写作,范文,1
function,n./v.,"★功能,作用；运转；函数",A 基础高频,"Consequently, all human body functions also follow this daily rhythm, and the timing of behaviors like exercise or food intake can significantly influence your health.",因此，人体所有的机能也都遵循这种日常节律，而运动、进食这类行为发生的时机，会对你的健康产生显著影响。,This cycle is the reason why people rest at night and are active during the day.,"For example, eating at night can lead to weight gain over time because food intake at night leads to increased fat storage.",仔细阅读：昼夜节律如何影响健康与服药效果（正文来源 H）,,,2025年12月,第1套,仔细阅读,Passage One（昼夜节律）,1
goal,n.,"★目标,目的；进球；球门",A 基础高频,It lets us reconsider the goals to achieve.,它让我们重新思考要达成的目标。,They are burdened by their expectation of perfection.,We should stay persistent even in the face of failures.,仔细阅读：天生有才华的人看似毫不费力就能胜出（答案 51-55 ACBDB；来源 A。首句为原文，其后五句为已公布的正确选项原文，非正文）,,,2025年6月,第1套,仔细阅读,Passage Two（天赋）,1
highly,adv.,"★非常,高度；很；赞许地；高价地；钦佩地；极为",A 基础高频,A new study from Sweden shows that women who were highly fit in mid-life were nearly 90 percent less likely to get dementia decades later.,瑞典的一项新研究表明，中年时期身体素质很高的女性，数十年后患痴呆症的概率要低将近百分之九十。,The message is not that everyone needs to run marathons in middle age.,It does give us hope that dementia can be prevented or delayed through exercise in one's middle age.,段落匹配：中年运动与阿尔茨海默病风险（答案 36-40 FLAHO，41-45 EKMCI；来源 K）,,,2026年6月,第1套,长篇阅读,Exercise and Dementia,1
